Make,Variant,"Length 
(ft)",Geographic Region,Country/Region/State ,Listing Price (USD),Year,Beam (m),Draft (m),Rigging,Displacement (kg),Sail Area (m²),Hull Materials,Sleeping Capacity,Headroom (m),Fuel Capacity (L),Water Capacity (L),Standard Engine Power (hp),LOA (m),Waterline Length (m),Fuel Type,Holding Tank Capacity (L),Keel Type,latitude,longitude, Climate Type,Country Code,2020_ave,2020_tol
Lagoon,380,38.0,Caribbean,Martinique,204921,2005,6.53,1.15,Fractional sloop,6970.0,77.0,Polyester,8.0,1.95,200.0,300.0,2x29,11.55,10.89,Diesel,80,Fixed keel,14.6367927,-61.01582685, Af,FRA,39055.2829280754,2639008701648.2563
Lagoon,380,38.0,Caribbean,Guadeloupe,200071,2005,6.53,1.15,Fractional sloop,6970.0,77.0,Polyester,8.0,1.95,200.0,300.0,2x29,11.55,10.89,Diesel,80,Fixed keel,16.2528827,-61.5686855, Am,FRA,39055.2829280754,2639008701648.2563
Lagoon,380,38.0,USA,Florida,219000,2005,6.53,1.15,Fractional sloop,6970.0,77.0,Polyester,8.0,1.95,200.0,300.0,2x29,11.55,10.89,Diesel,80,Fixed keel,27.7567667,-81.4639835, Af/Am,USA,63530.63348390901,21060473613000.0
Fountaine Pajot,lavezzi40,39.0,Caribbean,Mexico,210000,2005,6.72,1.1,7/8 fractional rig,7200.0,81.0,Polyester,8.0,1.95,280.0,600.0,2x30,11.9,11.5,Diesel,80,Fixed keel,23.6585116,-102.0077097, BWh/BSh,MEX,8655.000682068028,1090515389749.4136
Leopard,40,39.0,Caribbean,Panama,200000,2005,6.23,1.22,Staysail ketch,10300.0,99.0,Fiberglass,6.0,1.96,360.0,780.0,2x30,12.22,11.36,Diesel,210,Bulb fin keel,8.559559,-81.1308434, Af/Am,PAN,12569.17154356515,53977000000.0
Nautitech,40,39.5,Europe,Croatia,188252,2005,6.91,1.2,Fractional sloop,7500.0,86.0,Fiberglass,8.0,1.95,440.0,220.0,2x20,11.98,11.25,Diesel,None,Fixed keel,45.3658443,15.6575209, Csa,HRV,14198.75395947438,57472012426.68527
Nautitech,40,39.5,Europe,Croatia,188131,2005,6.91,1.2,Fractional sloop,7500.0,86.0,Fiberglass,8.0,1.95,440.0,220.0,2x20,11.98,11.25,Diesel,None,Fixed keel,45.3658443,15.6575209, Csa,HRV,14198.75395947438,57472012426.68527
Lagoon,410,40.5,Caribbean,Grenada,225000,2005,7.09,1.2,7/8 fractional rig,7980.0,85.0,Polyester,12.0,1.98,500.0,300.0,2x29,12.37,11.88,Diesel,300,Fixed keel,12.1360374,-61.6904045, Af,GRD,8437.56673228706,1043414814.8148148
Lagoon,410-s2,40.5,Europe,Spain,303395,2005,7.25,1.22,7/8 fractional rig,9000.0,100.0,Polyester,12.0,1.98,600.0,300.0,2x40,12.61,12.21,Diesel,300,Fixed keel,39.3260685,-4.8379791, Csa,ESP,26959.67543673264,1276962685648.2524
Lagoon,410-s2,40.5,Europe,Turkey,231042,2005,7.25,1.22,7/8 fractional rig,9000.0,100.0,Polyester,12.0,1.98,600.0,300.0,2x40,12.61,12.21,Diesel,300,Fixed keel,38.9597594,34.9249653, Csa/Dfa,TUR,8561.070947819871,720289368333.1906
