Make,Variant,Beam (m),Draft (m),Rigging,Displacement (kg),Sail Area (m²),Hull Materials,Sleeping Capacity,Headroom (m),Fuel Capacity (L),Water Capacity (L),Standard Engine Power (hp),LOA (m),Waterline Length (m),Fuel Type,Holding Tank Capacity (L),Keel Type
Lagoon,380,6.53,1.15,Fractional sloop,6970,77.0,Polyester,8.0,1.95,200,300,2x29,11.55,10.89,Diesel,80,Fixed keel
Fountaine Pajot,lavezzi40,6.72,1.1,7/8 fractional rig,7200,81.0,Polyester,8.0,1.95,280,600,2x30,11.9,11.5,Diesel,80,Fixed keel
Leopard,40,6.23,1.22,Staysail ketch,10300,99.0,Fiberglass,6.0,1.96,360,780,2x30,12.22,11.36,Diesel,210,Bulb fin keel
Nautitech,40,6.91,1.2,Fractional sloop,7500,86.0,Fiberglass,8.0,1.95,440,220,2x20,11.98,11.25,Diesel,None,Fixed keel
Lagoon,410,7.09,1.2,7/8 fractional rig,7980,85.0,Polyester,12.0,1.98,500,300,2x29,12.37,11.88,Diesel,300,Fixed keel
Lagoon,410-s2,7.25,1.22,7/8 fractional rig,9000,100.0,Polyester,12.0,1.98,600,300,2x40,12.61,12.21,Diesel,300,Fixed keel
Broadblue,415,6.88,1.07,Sloop or cutter,9800,105.0,Fiberglass,8.0,1.96,660,660,2x39,12.6,11.72,Diesel,None,Fixed keel
Manta,42mkii,6.71,1.29,Fractional sloop,11000,93.0,Fiberglass,6.0,1.96,800,600,2x40,12.8,None,Diesel,220,Fixed keel
Knysna,440,7.95,1.27,Sloop or cutter,12000,126.0,Fiberglass,6.0,2.0,880,880,2x56,13.4,12.24,Diesel,200,Bulb fin keel
Lagoon,440,7.7,1.3,7/8 fractional rig,12000,125.0,Polyester,10.0,1.98,700,900,2x40,13.61,12.76,Diesel,300,Fixed keel
Fountaine Pajot,Bahia 46,7.3,1.3,None,10000,126.0,Fiberglass,10,2.05,600,800,2 x 40,14.0,13.5,Diesel,80,Foam sandwich
Nautitech,47,7.54,1.20,None,11800,123.0,Fiberglass,10,2.05,700,600,2 x 55,14.50,13.8,Diesel,120,Fixed keel
Leopard,47,7.57,1.35,None,15000,168.0,Fiberglass,6,2.04,700,1000,2 x 54,14.33,13.11,Diesel,211,Fixed keel
Fountaine Pajot,Athena 38,6.3,1.1,None,7000,83.0,Fiberglass,6,1.85,200,400,2 x 19,11.6,11.0,Diesel,80,Fixed keel
Broadblue,385,6.86,1.15,None,8500,95.0,Fiberglass,8,1.98,400,600,None,11.99,11.6,Diesel,100,Skeg hung rudder
Nautitech,402,6.35,1.2,None,9000,99.0,Fiberglass,10,2.05,200,800,2 x 29,11.98,11.4,Diesel,60,Semi-elliptic
Lagoon,420,7.5,1.2,None,12152,110.0,Fiberglass,8,2.05,600,780,2 x 40,12.61,12.54,Diesel,300,Fixed keel
Maine Cat,41,7.32,0.81,None,6000,92.9,Fiberglass,7,1.96,340,450,2 x 29,12.50,11.58,Diesel,151,Fixed keel
Leopard,43,7.06,1.47,None,12000,123.0,Fiberglass,6,2.08,700,800,2 x 39,13.1,12.4,Diesel,170,Fixed keel
Fountaine Pajot,Belize 43,7.3,1.2,None,10000,105.0,Fiberglass,8,2.05,600,700,2 x 39,13.1,12.9,Diesel,80,Fixed keel
Privilege,435,7.94,1.57,None,12770,145.5,Fiberglass,8,1.95,720,1000,2 x 55,13.28,12.6,Diesel,120,Fixed keel
Broadblue,435,7.08,1.2,None,11250,114.0,Fiberglass,8,2.04,600,800,2 x 40,13.25,12.15,Diesel,200,None
Fountaine Pajot,Pajot Bahia 46,7.3,1.3,None,10000,126.0,Fiberglass,10,2.05,600,800,2 x 40,14.0,13.5,Diesel,80,Foam sandwich
Catana,47 Ocean Class,7.64,1.22,None,12500,154.0,Fiberglass,6,2.0,600,800,2 x 55,14.02,13.28,Diesel,300,Fixed keel
Lagoon,50 Owner's Version,8.88,1.5,None,19000,165.0,Fiberglass,6,2.05,1040,960,2 x 75,15.54,15.24,Diesel,240,None
Lagoon,50,8.88,1.5,None,20000,172.0,Fiberglass,10,2.05,1040,700,2 x 57,15.54,15.24,Diesel,240,None
Lagoon,500,8.53,1.3,None,17000,160.0,Fiberglass,12,2.05,1000,960,2 x 75,15.54,15.0,Diesel,300,None
Lagoon,380 S2,6.53,1.15,None,7260,77.0,Fiberglass,8,2.01,200,300,None,11.55,11.0,Diesel,80,Fixed keel
Fountaine Pajot,Orana 44,7.35,1.2,None,11000,98.0,Fiberglass,8,2.05,600,750,2 x 40,13.1,12.9,Diesel,80,Fixed keel
Fountaine Pajot,Salina 48,7.7,1.1,None,12000,130.0,Fiberglass,10,2.05,480,700,2 x 40,14.3,13.2,Diesel,80,Fixed keel
Privilege,495,8.5,1.5,None,17000,157.0,Fiberglass,6-8,2.0,1000,800,2 x 75,15.0,14.6,Diesel,90,Fixed keel
Catana,50,7.93,1.4,None,16000,167.0,Fiberglass,8-12,2.05,720,870,2 x 75,15.16,14.63,Diesel,200,Fixed keel
Lagoon,570,9.15,1.4,None,22500,169.0,Fiberglass,8-14,2.05,1200,960,2 x 110,17.06,16.75,Diesel,4 x 80,None
Seawind,1160,7.98,1.25,None,10500,116.0,Fiberglass,8-12,2.06,480,700,2 x 40,11.6,10.9,Diesel,2 x 100,None
Nautitech,40.2,6.91,1.35,None,7000,80.0,Fiberglass,6-8,1.95,400,600,2 x 20,12.19,11.89,Diesel,200,Semi-elliptic
Alliaura,Feeling 39DI,3.61,2.05,None,7500,70.3,Fiberglass,6,2.0,140,340,55,11.95,10.8,Diesel,140,Centerboard
Manta,42 MKIV,6.71,1.3,None,11884,98.0,Fiberglass,6,2.03,600,550,2 x 30,12.67,11.78,Diesel,45,None
Nautitech,44,6.81,1.2,None,9350,103.0,Fiberglass,8-10,2.06,600,600,2 x 29,13.47,13.08,Diesel,2 x 120,Fixed keel
Leopard,46,7.25,1.52,None,14400,156.0,Fiberglass,6-12,1.98,700,780,2 x 55,14.02,13.61,Diesel,370,Fixed keel
Voyage Yachts,500,8.02,1.30,None,14500,157.0,Fiberglass,10-12,2.05,1060,800,2 x 55,15.25,14.63,Diesel,170,Fixed keel
Fountaine Pajot,Lipari 41,6.72,1.15,None,8900,93.0,Fiberglass,8,1.95,300,530,2 x 30,11.95,11.50,Diesel,80,Fixed keel
Leopard,38,6.04,1.04,None,7200,89.0,Fiberglass,6,1.95,200,400,2 x 29,11.43,10.97,Diesel,100,Fixed keel
Lagoon,400 Owner's Version,7.25,1.21,None,10300,82.0,Fiberglass,6,2.00,400,600,2 x 29,11.97,11.60,Diesel,80,Fixed keel
Lagoon,400,7.25,1.21,None,10300,77.0,Fiberglass,8-10,2.00,400,600,2 x 29,11.97,11.60,Diesel,80,Fixed keel
Lagoon,421,7.50,1.26,None,12000,88.0,Fiberglass,6-12,1.95,300,600,2 x 40,12.61,12.28,Diesel,80,Fixed keel
Nautitech,441,6.81,1.20,None,9500,99.0,Fiberglass,8,2.06,400,600,2 x 40,13.47,13.08,Diesel,2 x 29,Fixed keel
Nautitech,442 Owner's Version,6.81,1.20,None,10000,119.0,Fiberglass,6,1.98,400,800,2 x 40,13.47,13.08,Diesel,80,Fixed keel
Antares,44i,7.10,1.20,None,11300,102.0,Fiberglass,6,2.00,700,750,2 x 39,13.44,12.50,Diesel,140,Fixed keel
Catana,47,7.70,1.15,None,12000,136.0,Fiberglass,6-8,2.05,800,800,2 x 54,14.02,13.41,Diesel,400,Fixed keel
Chris White,Atlantic 48,7.92,1.22,None,11500,156.0,Fiberglass,6,1.93,750,750,2 x 40,14.63,13.41,Diesel,200,Fixed keel
Outremer,49,7.45,1.20,None,11000,134.0,Fiberglass,8-10,2.05,600,400,2 x 40,14.94,14.70,Diesel,80,Fixed keel
Voyage Yachts,500 Owner's Version,8.02,1.30,None,14500,157.0,Fiberglass,6-8,2.05,1060,800,2 x 55,15.25,14.63,Diesel,170,Fixed keel
Leopard,39,6.04,1.22,None,8500,110.0,Fiberglass,6-8,2.05,250,780,2 x 29,11.99,11.43,Diesel,206,Fixed keel
Leopard,44,7.25,1.22,None,13000,104.0,Fiberglass,6-10,2.05,700,1000,2 x 39,13.41,12.75,Diesel,206,Fixed keel
Lagoon,42 Owner's Version,7.70,1.26,None,12000,92.0,Fiberglass,6,2.00,600,600,2 x 40,12.61,12.28,Diesel,80,Fixed keel
Lagoon,450,7.87,1.30,None,12152,133.0,Fiberglass,6-10,2.05,650,700,2 x 54,13.96,13.38,Diesel,4 x 85,None
Lagoon,450 F,7.87,1.30,None,12600,133.0,Fiberglass,6-10,2.05,1040,700,2 x 54,13.96,13.38,Diesel,4 x 85,None
Lagoon,39,6.79,1.21,None,9400,78.0,Fiberglass,6,1.95,200,600,2 x 20,11.74,11.45,Diesel,80,Fixed keel
Fountaine Pajot,Helia 44,7.40,1.15,None,10880,116.0,Fiberglass,8-10,2.05,700,750,2 x 55,13.3,12.76,Diesel,160,Fixed keel
Voyage Yachts,Voyage 520 DC,8.20,1.60,None,18700,236.0,Fiberglass,8-10,2.05,1000,800,2 x 75,16.50,15.85,Diesel,180,Fixed keel
Nautitech,542,8.54,1.40,None,16000,212.0,Fiberglass,10-12,1.80,1000,800,2 x 75,16.30,15.64,Diesel,2 x 75,Fixed keel
Lagoon,400 S2,7.25,1.21,None,10300,77.0,Fiberglass,8-10,2.00,400,600,2 x 29,11.97,11.60,Diesel,80,Fixed keel
Dolphin Ocema,Ocema 42,6.20,1.10,None,7000,72.0,Fiberglass,6,1.90,300,750,2 x 20,12.70,12.20,Diesel,90,Fixed keel
Lagoon,450 Owner's Version,7.87,1.30,None,14650,166.0,Fiberglass,6,2.05,1040,700,2 x 54,13.96,13.38,Diesel,4 x 85,None
Leopard,48,7.45,1.47,None,17000,164.0,Fiberglass,6-10,1.98,1100,1000,2 x 57,14.75,14.27,Diesel,700,Fixed keel
Lagoon,52,8.74,1.50,None,26000,197.0,Fiberglass,8-12,2.05,1040,960,2 x 54,15.85,15.60,Diesel,800,Fixed keel
Lagoon,52 F,8.74,1.50,None,26000,223.0,Fiberglass,8-12,2.05,1040,960,2 x 80,15.85,15.60,Diesel,4 x 80,None
Lagoon,380 Owner's Version,6.63,1.15,None,6760,56.0,Fiberglass,6,1.95,200,600,2 x 20,11.55,11.00,Diesel,80,Fixed keel
Nautitech,40 Open,6.91,1.35,None,7000,80.0,Fiberglass,8-10,1.95,400,600,2 x 20,11.98,11.89,Diesel,200,Semi-elliptic
Fountaine Pajot,Salina 48 Evolution,7.70,1.10,None,14000,163.0,Fiberglass,8-12,2.05,700,1000,2 x 55,14.30,13.80,Diesel,800,Fixed keel
Leopard,48 Crewed Version,7.45,1.47,None,17000,164.0,Fiberglass,6-10,1.98,1100,1000,2 x 57,14.75,14.27,Diesel,700,Fixed keel
Fountaine Pajot,Saba 50,7.92,1.25,None,16000,162.0,Fiberglass,8-12,2.10,940,700,2 x 75,14.98,14.50,Diesel,700,Fixed keel
Privilege,Series 5,9.16,1.55,None,19000,216.0,Fiberglass,6-8,2.00,1200,800,2 x 75,16.06,15.61,Diesel,800,Fixed keel
Leopard,Sunsail 404,4.12,1.35,None,10800,84.0,Fiberglass,10,2.05,250,400,2 x 29,11.99,11.43,Diesel,211,Fixed keel
Bali,4.0,6.72,1.15,None,10620,100.0,Fiberglass,8-10,2.00,800,800,2 x 40,11.99,11.50,Diesel,800,Fixed keel
Seawind,1250,7.85,1.20,None,12000,166.0,Fiberglass,8-12,2.10,600,900,2 x 57,12.19,11.81,Diesel,2 x 75,Fixed keel
Bali,4.3,7.12,1.22,None,12200,146.0,Fiberglass,8-10,2.05,800,800,2 x 40,13.10,12.60,Diesel,None,Fixed keel
Fountaine Pajot,Helia 44 Maestro,7.40,1.15,None,10880,116.0,Fiberglass,6-8,2.05,700,750,2 x 55,13.3,12.76,Diesel,160,Fixed keel
Bali,4.5,7.88,1.22,None,12650,163.0,Fiberglass,10,2.05,800,800,2 x 57,13.60,13.02,Diesel,None,Fixed keel
Outremer,45,7.10,1.20,None,9400,118.0,Fiberglass,6-8,1.95,400,400,2 x 40,13.77,13.41,Diesel,none,Fixed keel
Lagoon,450 S,7.87,1.30,None,14000,130.0,Fiberglass,6-10,2.05,650,700,2 x 54,13.96,13.38,Diesel,4 x 85,None
Fountaine Pajot,Saba 50 Maestro,7.92,1.25,None,16000,162.0,Fiberglass,8-12,2.10,940,700,2 x 75,14.98,14.50,Diesel,700,Fixed keel
Voyage Yachts,Voyage 480,7.32,1.39,None,12000,150.0,Fiberglass,8-10,2.05,960,1000,2 x 54,14.63,13.72,Diesel,600,Fixed keel
Fountaine Pajot,Lucia 40,6.63,1.20,None,8900,96.0,Fiberglass,8,2.05,300,530,2 x 20,11.73,11.28,Diesel,none,Fixed keel
Chris White,MastFoil 40,8.20,1.50,Sloop,4200,165.0,Composite,4-6,1.83,135,300,2 x 20,12.19,11.58,Diesel,none,Centerboard
Bali,4.1,6.72,1.15,None,10620,100.0,Fiberglass,8-10,2.00,800,800,2 x 40,11.99,11.50,Diesel,800,Fixed keel
Lagoon,42,7.70,1.26,None,12000,92.0,Fiberglass,6,2.00,600,600,2 x 40,12.61,12.28,Diesel,80,Fixed keel
Fountaine Pajot,Helia 44 Evolution,7.40,1.15,None,10880,116.0,Fiberglass,6-8,2.05,700,750,2 x 55,13.3,12.76,Diesel,160,Fixed keel
Nautitech,46 Fly,7.54,1.45,None,12000,131.0,Fiberglass,8-10,2.00,600,600,2 x 50,13.79,13.38,Diesel,none,Fixed keel
Lagoon,45 F,7.70,1.30,None,15000,129.0,Fiberglass,6-10,2.05,650,700,2 x 57,13.72,13.38,Diesel,4 x 80,None
Dix Harvey,DH550,8.20,1.30,Cutter,9000,190.0,Composite,6-8,1.85,780,800,2 x 40,16.75,15.60,Diesel,2 x 120,Daggerboard
Lagoon,40,6.79,1.21,None,7980,78.0,Fiberglass,6-8,1.95,200,300,2 x 20,11.99,11.73,Diesel,none,Fixed keel
Fountaine Pajot,Lucia 40 Owner's Version,6.63,1.20,None,8900,96.0,Fiberglass,4-6,2.05,300,530,2 x 20,11.73,11.28,Diesel,none,Fixed keel
Seawind,1190 Sport,7.47,1.12,None,8765,136.0,Fiberglass,8-10,2.05,400,700,2 x 29,11.99,11.10,Diesel,80,Fixed keel
Nautitech,46 Open,7.54,1.45,None,12000,131.0,Fiberglass,6-10,2.00,600,600,2 x 50,13.79,13.38,Diesel,none,Fixed keel
Leopard,45,7.23,1.47,None,16170,135.0,Fiberglass,6-10,1.95,700,780,2 x 45,13.72,13.24,Diesel,none,Fixed keel
Bali,4.6,7.88,1.22,None,12650,163.0,Fiberglass,10,2.05,800,800,2 x 57,13.60,13.02,Diesel,none,Fixed keel
Seawind,1260,7.65,1.20,None,11000,160.0,Fiberglass,8-10,2.05,700,780,2 x 39,12.33,11.56,Diesel,2 x 80,Fixed keel
Bali,4.3 Loft,7.12,1.22,None,12200,146.0,Fiberglass,8-10,2.05,800,800,2 x 40,13.10,12.60,Diesel,none,Fixed keel
Antares,44 GS,7.60,1.20,None,12000,110.0,Fiberglass,8-10,2.10,700,700,2 x 40,13.50,12.60,Diesel,none,Fixed keel
Fountaine Pajot,Saona 47,7.70,1.30,None,16000,155.0,Fiberglass,8-12,2.05,1000,700,2 x 55,13.94,13.58,Diesel,none,Fixed keel
Chris White,Atlantic 49 MF,7.32,1.07,None,9071,165.0,Composite,6-8,2.00,800,600,2 x 40,15.00,14.63,Diesel,none,Centerboard
Lagoon,52 Sport,9.26,1.55,None,25000,246.0,Fiberglass,8-12,2.05,1040,960,2 x 80,15.84,15.60,Diesel,none,Fixed keel
HH Catamarans,HH55 Catamaran,9.00,1.65,None,21800,248.0,Carbon Fiber,8-10,2.05,800,1000,2 x 75,16.76,15.85,Diesel,none,Fixed keel
Fountaine Pajot,Astrea 42,7.20,1.25,None,11000,105.0,Fiberglass,6-8,2.05,470,700,2 x 30,12.58,12.50,Diesel,none,Fixed keel
Lagoon,46,7.96,1.30,None,16000,134.0,Fiberglass,6-12,2.05,700,700,2 x 57,13.99,13.53,Diesel,none,Fixed keel
Lagoon,50 F,8.00,1.40,None,23500,165.0,Fiberglass,8-12,2.05,1040,960,2 x 80,14.98,14.62,Diesel,none,Fixed keel
Bali,5.4,8.74,1.48,None,19200,195.0,Fiberglass,10-12,2.00,1000,800,2 x 80,16.80,16.51,Diesel,none,Fixed keel

