Country/Region, Climate Type
France, Cfb
Croatia, Csa
Greece, Csa
Italy, Csa
Netherlands, Cfb
Spain, Csa
Florida, Af/Am
Illinois, Dfa
Mexico, BWh/BSh
Portugal, Csa
United Kingdom, Cfb
Connecticut, Dfa
Malta, Csa
Maryland, Cfa
California, Csa
Texas, Cfa/BSh
North Carolina, Cfa/Cwa
Grenada, Af
Rhode Island, Dfa
Washington, Cfb
Netherlands Antilles, Am
Turkey, Csa/Dfa
Germany, Cfb
Estonia, Dfb
Ireland, Cfb
New York, Dfa
Michigan, Dfb
Maine, Dfb
Virginia, Cfa/Cwa
Martinique, Af
Denmark, Cfb
Cyprus, Csa
Panama, Af/Am
Antigua and Barbuda, Af
Slovenia, Cfb
Bahamas, Aw
Hawaii, Am
Alabama, Cfa/Cwa
Georgia, Cfa/Cwa
South Carolina, Cfa/Cwa
Trinidad and Tobago, Af
Oregon, Cfb
Romania, Cfb/Dfb
Massachusetts, Dfa
Sweden, Cfb
Cork, Cfb
New Jersey, Dfa
Wisconsin, Dfb
Ohio, Dfa
Gibraltar, Csa
Belgium, Cfb
Bulgaria, Cfb
Saint Lucia, Am
West Indies, Aw
Dominican Republic, Am
Guadeloupe, Am
Louisiana, Cfa
Mississippi, Cfa
Monaco, Csa
Puerto Rico, Am
British Virgin Islands, Am
Sint Maarten (Dutch part), Am
Aruba, Aw
Switzerland, Dfc
U.S. Virgin Islands, Am
Saint Vincent and the Grenadines, Am
Guatemala, Am
Norway, Cfb/Dfb
Jersey, Cfb
Saint Kitts and Nevis, Am
Hungary, Cfb
Belize, Am
Honduras, Am
Cayman Islands, Aw
Saint-Martin, Am
Lagos, Am
Barbados, Am
