city,latitude,longitude
France,46.603354,1.8883335
Croatia,45.3658443,15.6575209
Greece,38.9953683,21.9877132
Italy,42.6384261,12.674297
Netherlands,52.2434979,5.6343227
Spain,39.3260685,-4.8379791
Florida,27.7567667,-81.4639835
Illinois,40.0796606,-89.4337288
Mexico,23.6585116,-102.0077097
Portugal,39.6621648,-8.1353519
United Kingdom,54.7023545,-3.2765753
Connecticut,41.6500201,-72.7342163
Malta,35.8885993,14.4476911
Maryland,39.5162401,-76.9382069
California,36.7014631,-118.755997
Texas,31.2638905,-98.5456116
North Carolina,35.6729639,-79.0392919
Grenada,12.1360374,-61.6904045
Rhode Island,41.7962409,-71.5992372
Washington,38.8950368,-77.0365427
Netherlands Antilles,12.1845,-68.6607922625
Turkey,38.9597594,34.9249653
Germany,51.1638175,10.4478313
Estonia,58.7523778,25.3319078
Ireland,52.865196,-7.9794599
New York,40.7127281,-74.0060152
Michigan,43.6211955,-84.6824346
Maine,45.709097,-68.8590201
Virginia,37.1232245,-78.4927721
Martinique,14.6367927,-61.01582685063731
Denmark,55.670249,10.3333283
Cyprus,34.9823018,33.1451285
Panama,8.559559,-81.1308434
Antigua and Barbuda,17.2234721,-61.9554608
Slovenia,46.1199444,14.8153333
Bahamas,24.7736546,-78.0000547
Hawaii,19.593801499999998,-155.42837009716908
Alabama,33.2588817,-86.8295337
Georgia,32.3293809,-83.1137366
South Carolina,33.6874388,-80.4363743
Trinidad and Tobago,10.7466905,-61.0840075
Oregon,43.9792797,-120.737257
Romania,45.9852129,24.6859225
Massachusetts,42.3788774,-72.032366
Sweden,59.6749712,14.5208584
Cork,51.897077,-8.4654674
New Jersey,40.0757384,-74.4041622
Wisconsin,44.4308975,-89.6884637
Ohio,40.2253569,-82.6881395
Gibraltar,36.1285933,-5.3474761
Belgium,50.6402809,4.6667145
Bulgaria,42.6073975,25.4856617
Saint Lucia,13.8250489,-60.975036
West Indies,50.83635905,0.46178907969151417
Dominican Republic,19.0974031,-70.3028026
Guadeloupe,16.2528827,-61.5686855
Louisiana,30.8703881,-92.007126
Mississippi,32.9715285,-89.7348497
Monaco,43.7323492,7.4276832
Puerto Rico,18.2247706,-66.4858295
British Virgin Islands,18.4024395,-64.5661642
Sint Maarten (Dutch part),18.0155138,-63.045102334856175
Aruba,12.51756625,-69.98186415210564
Switzerland,46.7985624,8.2319736
U.S. Virgin Islands,17.789187,-64.7080574
Saint Vincent and the Grenadines,12.90447,-61.2765569
Guatemala,15.5855545,-90.345759
Norway,61.1529386,8.7876653
Jersey,49.2214561,-2.1358386
Saint Kitts and Nevis,17.250512,-62.6725973
Hungary,47.1817585,19.5060937
Belize,16.8259793,-88.7600927
Honduras,15.2572432,-86.0755145
Cayman Islands,19.703182249999998,-79.9174627243246
Saint-Martin,18.0814066,-63.0467131
Lagos,6.4550575,3.3941795
Barbados,13.1500331,-59.5250305
