Make,Variant,"Length 
(ft)",Geographic Region,Country/Region/State ,Listing Price (USD),Year,Beam (m),Draft (m),Rigging,Displacement (kg),Sail Area (m²),Hull Materials,Sleeping Capacity,Headroom (m),Fuel Capacity (L),Water Capacity (L),Standard Engine Power (hp),LOA (m),Waterline Length (m),Fuel Type,Holding Tank Capacity (L),Keel Type,latitude,longitude, Climate Type,Country Code,2020_ave,2020_tol
Alubat,ovni395,41.0,Europe,France,267233,2005,3.8,1.925,Deck stepped sloop,7500.0,82.5,Aluminum,7.0,1.95,200,600,55,12.35,11.35,Diesel,80,Lifting keel,46.603354,1.8883335, Cfb,FRA,39055.2829280754,2639008701648.2563
Bavaria,38cruiser,38.0,Europe,Croatia,75178,2005,3.87,1.95,In-mast furling,8300.0,77.4,Fiberglass,6.0,1.95,150,300,30,11.72,10.96,Diesel,150,Fin keel,45.3658443,15.6575209, Csa,HRV,14198.75395947438,57472012426.68527
Bavaria,38cruiser,38.0,Europe,Croatia,66825,2005,3.87,1.95,In-mast furling,8300.0,77.4,Fiberglass,6.0,1.95,150,300,30,11.72,10.96,Diesel,150,Fin keel,45.3658443,15.6575209, Csa,HRV,14198.75395947438,57472012426.68527
Bavaria,38cruiser,38.0,Europe,Croatia,54661,2005,3.87,1.95,In-mast furling,8300.0,77.4,Fiberglass,6.0,1.95,150,300,30,11.72,10.96,Diesel,150,Fin keel,45.3658443,15.6575209, Csa,HRV,14198.75395947438,57472012426.68527
Bavaria,38cruiser,38.0,Europe,Croatia,53447,2005,3.87,1.95,In-mast furling,8300.0,77.4,Fiberglass,6.0,1.95,150,300,30,11.72,10.96,Diesel,150,Fin keel,45.3658443,15.6575209, Csa,HRV,14198.75395947438,57472012426.68527
Bavaria,38cruiser,38.0,Europe,Greece,91101,2005,3.87,1.95,In-mast furling,8300.0,77.4,Fiberglass,6.0,1.95,150,300,30,11.72,10.96,Diesel,150,Fin keel,38.9953683,21.9877132, Csa,GRC,17658.947301119217,188925995936.80676
Bavaria,39cruiser,39.0,Europe,Greece,66748,2005,3.97,1.85,In-mast furling,8300.0,78.7,Fiberglass,6.0,1.95,210,360,29,12.14,11.18,Diesel,210,Fin keel,38.9953683,21.9877132, Csa,GRC,17658.947301119217,188925995936.80676
Bavaria,42match,41.0,Europe,Croatia,78945,2005,3.99,2.05,Racing Sloop,9500.0,84.3,Fiberglass,6.0,1.92,210,360,55,12.99,11.32,Diesel,210,Fin keel,45.3658443,15.6575209, Csa,HRV,14198.75395947438,57472012426.68527
Bavaria,42match,41.0,Europe,Croatia,58297,2005,3.99,2.05,Racing Sloop,9500.0,84.3,Fiberglass,6.0,1.92,210,360,55,12.99,11.32,Diesel,210,Fin keel,45.3658443,15.6575209, Csa,HRV,14198.75395947438,57472012426.68527
Bavaria,42cruiser,42.0,Europe,Croatia,112906,2005,4.13,2.1,In-mast furling,9800.0,89.6,Fiberglass,7.0,2.05,210,360,55,12.99,11.4,Diesel,210,Fin keel,45.3658443,15.6575209, Csa,HRV,14198.75395947438,57472012426.68527
Bavaria,42cruiser,42.0,Europe,Italy,95961,2005,4.13,2.1,In-mast furling,9800.0,89.6,Fiberglass,7.0,2.05,210,360,55,12.99,11.4,Diesel,210,Fin keel,42.6384261,12.674297, Csa,ITA,31911.035789001668,1896755301518.1372
Bavaria,42cruiser,42.0,Europe,Italy,94746,2005,4.13,2.1,In-mast furling,9800.0,89.6,Fiberglass,7.0,2.05,210,360,55,12.99,11.4,Diesel,210,Fin keel,42.6384261,12.674297, Csa,ITA,31911.035789001668,1896755301518.1372
Bavaria,42cruiser,42.0,Europe,Italy,91102,2005,4.13,2.1,In-mast furling,9800.0,89.6,Fiberglass,7.0,2.05,210,360,55,12.99,11.4,Diesel,210,Fin keel,42.6384261,12.674297, Csa,ITA,31911.035789001668,1896755301518.1372
Bavaria,cruiser46,46.0,Europe,Croatia,101063,2005,4.35,2.1,In-mast furling,12600.0,108.0,Fiberglass,8.0,2.1,210,360,55,14.23,12.74,Diesel,210,Fin keel,45.3658443,15.6575209, Csa,HRV,14198.75395947438,57472012426.68527
