Make,Variant,Beam (m),Draft (m),Rigging,Displacement (kg),Sail Area (m²),Hull Materials,Sleeping Capacity,Headroom (m),Fuel Capacity (L),Water Capacity (L),Standard Engine Power (hp),LOA (m),Waterline Length (m),Fuel Type,Holding Tank Capacity (L),Keel Type
Alubat,ovni395,3.8,1.925,Deck stepped sloop,7500,82.5,Aluminum,7.0,1.95,200,600,55,12.35,11.35,Diesel,80,Lifting keel
Bavaria,38cruiser,3.87,1.95,In-mast furling,8300,77.4,Fiberglass,6.0,1.95,150,300,30,11.72,10.96,Diesel,150,Fin keel
Bavaria,39cruiser,3.97,1.85,In-mast furling,8300,78.7,Fiberglass,6.0,1.95,210,360,29,12.14,11.18,Diesel,210,Fin keel
Bavaria,42match,3.99,2.05,Racing Sloop,9500,84.3,Fiberglass,6.0,1.92,210,360,55,12.99,11.32,Diesel,210,Fin keel
Bavaria,42cruiser,4.13,2.1,In-mast furling,9800,89.6,Fiberglass,7.0,2.05,210,360,55,12.99,11.4,Diesel,210,Fin keel
Bavaria,cruiser46,4.35,2.1,In-mast furling,12600,108.0,Fiberglass,8.0,2.1,210,360,55,14.23,12.74,Diesel,210,Fin keel
Bavaria,50cruiser,4.49,2.1,Roller furling,14500,112.0,Fiberglass,10.0,2.06,320,790,75,15.57,14.02,Diesel,280,Fin keel
Bavaria,49cruiser,4.46,2.1,In-mast furling,13000,116.0,Fiberglass,7.0,2.05,300,650,75,14.98,13.42,Diesel,210,Fin keel
Beneteau,first40.7,3.75,2.4,Fractional 9/10th rig,6850,110.0,Fiberglass,7.0,1.85,136,320,40,12.17,10.69,Diesel,90,Bulb fin keel
Beneteau,cyclades39.3,3.96,1.9,Classic Mast,7800,66.9,Fiberglass,7.0,1.95,200,530,40,11.97,11.26,Diesel,230,Bulb fin keel
Beneteau,oceanis423,3.9,2.0,Roller furling,8800,90.0,Fiberglass,7.0,1.95,200,540,50,13.09,11.15,Diesel,220,Bulb fin keel
Beneteau,cyclades43.3,4.43,1.9,Classic Mast,9300,85.8,Fiberglass,7.0,1.95,220,530,54,13.26,12.84,Diesel,230,Bulb fin keel
Beneteau,oceanisclipper423,3.9,2.0,In-mast furling,8800,90.0,Fiberglass,7.0,1.95,200,540,50,13.09,11.15,Diesel,220,Bulb fin keel
Beneteau,oceanis43,4.12,2.05,In-mast furling,8875,89.4,Fiberglass,7.0,1.98,200,360,54,13.1,12.9,Diesel,220,Bulb fin keel
Beneteau,first44.7,3.99,2.3,Fractional 9/10th rig,9650,104.0,Fiberglass,7.0,1.95,200,360,54,13.68,12.14,Diesel,55,Bulb fin keel
Beneteau,oceanisclipper473,4.31,1.925,In-mast furling,11000,118.0,Fiberglass,9.0,2.02,235,970,76,14.3,12.9,Diesel,250,Bulb fin keel
Beneteau,oceanis473,4.31,1.925,Roller furling,11000,117.5,Fiberglass,9.0,2.02,235,970,76,14.3,12.9,Diesel,250,Bulb fin keel
Beneteau,first47.7,4.5,2.9,Fractional 9/10th rig,12640,133.5,Fiberglass,7.0,1.95,260,700,75,14.5,12.1,Diesel,100,Bulb fin keel
Beneteau,oceanis523,4.99,2.3,Fractional 9/10th rig,17380,152.0,Fiberglass,8.0,2.05,450,1000,100,16.2,14.25,Diesel,100,Bulb fin keel
Beneteau,oceanisclipper523,4.99,2.3,Fractional 9/10th rig,17380,152.0,Fiberglass,8.0,2.05,450,1000,100,16.2,14.25,Diesel,100,Bulb fin keel
