Country/Region/State ,latitude,longitude, Climate Type,Country Code,2020_ave,2020_tol
France,46.603354,1.8883335, Cfb,FRA,39055.2829280754,2639008701648.2563
Croatia,45.3658443,15.6575209, Csa,HRV,14198.753959474381,57472012426.685265
Greece,38.9953683,21.9877132, Csa,GRC,17658.947301119217,188925995936.80673
Italy,42.6384261,12.674297, Csa,ITA,31911.035789001668,1896755301518.1375
Netherlands,52.2434979,5.6343227, Cfb,NLD,52162.570115040624,909793466661.4811
Spain,39.3260685,-4.8379791, Csa,ESP,26959.67543673264,1276962685648.2524
Florida,27.7567667,-81.4639835, Af/Am,USA,63530.63348390901,21060473613000.0
Illinois,40.0796606,-89.4337288, Dfa,USA,63530.63348390901,21060473613000.0
Mexico,23.6585116,-102.0077097, BWh/BSh,MEX,8655.000682068028,1090515389749.4135
Portugal,39.6621648,-8.1353519, Csa,PRT,22242.406417971975,229031860520.77728
United Kingdom,54.7023545,-3.2765753, Cfb,GBR,40318.55756604926,2704609160088.1504
Connecticut,41.6500201,-72.7342163, Dfa,USA,63530.63348390901,21060473613000.0
Malta,35.8885993,14.4476911, Csa,MLT,28977.565567363552,14933066818.960594
Maryland,39.5162401,-76.9382069, Cfa,USA,63530.63348390901,21060473613000.0
California,36.7014631,-118.755997, Csa,USA,63530.63348390901,21060473613000.0
Texas,31.2638905,-98.5456116, Cfa/BSh,USA,63530.63348390901,21060473613000.0
North Carolina,35.6729639,-79.0392919, Cfa/Cwa,USA,63530.63348390901,21060473613000.0
Grenada,12.1360374,-61.6904045, Af,GRD,8437.56673228706,1043414814.8148147
Rhode Island,41.7962409,-71.5992372, Dfa,USA,63530.63348390901,21060473613000.0
Washington,38.8950368,-77.0365427, Cfb,USA,63530.63348390901,21060473613000.0
Netherlands Antilles,12.1845,-68.66079226, Am,,,
Turkey,38.9597594,34.9249653, Csa/Dfa,TUR,8561.070947819871,720289368333.1906
Germany,51.1638175,10.4478313, Cfb,DEU,46772.825350754465,3889668895299.6216
Estonia,58.7523778,25.3319078, Dfb,EST,23595.243683644083,31370395572.765846
Ireland,52.865196,-7.9794599, Cfb,IRL,85420.19085560966,425852281928.12103
New York,40.7127281,-74.0060152, Dfa,USA,63530.63348390901,21060473613000.0
Michigan,43.6211955,-84.6824346, Dfb,USA,63530.63348390901,21060473613000.0
Maine,45.709097,-68.8590201, Dfb,USA,63530.63348390901,21060473613000.0
Virginia,37.1232245,-78.4927721, Cfa/Cwa,USA,63530.63348390901,21060473613000.0
Martinique,14.6367927,-61.01582685, Af,FRA,39055.2829280754,2639008701648.2563
Denmark,55.670249,10.3333283, Cfb,DNK,60915.42439954616,355222449505.21106
Cyprus,34.9823018,33.1451285, Csa,CYP,28036.189453125,25008448886.35066
Panama,8.559559,-81.1308434, Af/Am,PAN,12569.17154356515,53977000000.0
Antigua and Barbuda,17.2234721,-61.9554608, Af,ATG,14787.635775290095,1370281481.4814813
Slovenia,46.1199444,14.8153333, Cfb,SVN,25545.241002713636,53706800043.6842
Bahamas,24.7736546,-78.0000547, Aw,BHS,23862.710992912165,9699500000.0
Hawaii,19.5938015,-155.4283701, Am,USA,63530.63348390901,21060473613000.0
Alabama,33.2588817,-86.8295337, Cfa/Cwa,USA,63530.63348390901,21060473613000.0
Georgia,32.3293809,-83.1137366, Cfa/Cwa,USA,63530.63348390901,21060473613000.0
South Carolina,33.6874388,-80.4363743, Cfa/Cwa,USA,63530.63348390901,21060473613000.0
Trinidad and Tobago,10.7466905,-61.0840075, Af,TTO,13871.798219466396,21059428851.48825
